ensemble,leadtime,year,precipitation
6,3,1997,54.59233000874519
6,3,1998,52.8513602912426
6,3,1999,69.83642280101776
6,3,2000,58.06181952357292
6,3,2001,40.56675732135773
6,3,2002,53.87060344219208
6,3,2003,83.11711996793747
6,3,2004,111.05775088071823
6,3,2005,41.71660915017128
6,3,2006,42.4589067697525
6,3,2007,58.27134847640991
6,3,2008,35.27609631419182
6,3,2009,38.698796182870865
6,3,2010,40.46741500496864
6,3,2011,69.6951299905777
6,3,2012,35.04756838083267
6,3,2013,61.61170452833176
6,3,2014,55.54922670125961
6,3,2015,46.481892466545105
6,4,1981,52.1417111158371
6,4,1982,40.85303470492363
6,4,1983,52.10365727543831
6,4,1984,65.33262133598328
6,4,1985,38.01899403333664
6,4,1986,38.75512257218361
6,4,1987,56.929122656583786
6,4,1988,68.11418384313583
6,4,1989,34.52691435813904
6,4,1990,43.6490960419178
6,4,1991,67.12979823350906
6,4,1992,91.06619656085968
6,4,1993,49.77145045995712
6,4,1994,42.53801330924034
6,4,1995,31.935915350914
6,4,1996,72.78813421726227
6,4,1997,50.00831186771393
6,4,1998,49.46403577923775
6,4,1999,67.14890152215958
6,4,2000,67.08153337240219
6,4,2001,50.032760947942734
6,4,2002,55.745407938957214
6,4,2003,61.96203827857971
6,4,2004,35.7213169336319
6,4,2005,52.72383242845535
6,4,2006,70.5670490860939
6,4,2007,116.19322746992111
6,4,2008,62.002841383218765
6,4,2009,45.568883419036865
6,4,2010,75.26461035013199
6,4,2011,47.0559261739254
6,4,2012,39.184343069791794
6,4,2013,58.80704149603844
6,4,2014,50.50509423017502
6,4,2015,42.88952052593231
6,5,1981,49.42544177174568
6,5,1982,66.6227862238884
6,5,1983,54.52200770378113
6,5,1984,45.92443257570267
6,5,1985,42.2794446349144
6,5,1986,44.10771280527115
6,5,1987,61.54512241482735
6,5,1988,52.49367281794548
6,5,1989,90.50897508859634
6,5,1990,44.9335016310215
6,5,1991,49.07427728176117
6,5,1992,49.68857392668724
6,5,1993,48.10386523604393
6,5,1994,69.85185295343399
6,5,1995,37.85236552357674
6,5,1996,59.20758470892906
6,5,1997,82.80155807733536
6,5,1998,58.79160389304161
6,5,1999,51.27519741654396
6,5,2000,70.1206624507904
6,5,2001,54.98227849602699
6,5,2002,42.54833236336708
6,5,2003,53.14567685127258
6,5,2004,61.896029859781265
6,5,2005,55.06788566708565
6,5,2006,56.04136362671852
6,5,2007,70.90288400650024
6,5,2008,37.180058658123016
6,5,2009,46.55573144555092
6,5,2010,91.22969210147858
6,5,2011,47.250792384147644
6,5,2012,41.27466678619385
6,5,2013,78.71441543102264
6,5,2014,54.739564657211304
6,5,2015,47.475170344114304
7,2,1981,57.44665488600731
7,2,1982,61.783671379089355
7,2,1983,37.34706714749336
7,2,1984,90.32069891691208
7,2,1985,44.08251866698265
7,2,1986,68.62545013427734
7,2,1987,71.89452648162842
7,2,1988,32.45214745402336
7,2,1989,75.25457441806793
7,2,1990,58.33809822797775
7,2,1991,85.56333929300308
7,2,1992,52.357710897922516
7,2,1993,30.493397265672684
7,2,1994,46.44788056612015
7,2,1995,49.080636352300644
7,2,1996,55.76132982969284
7,2,1997,34.89882871508598
7,2,1998,43.6662994325161
7,2,1999,45.26752978563309
7,2,2000,65.93731790781021
7,2,2001,76.58033818006516
7,2,2002,64.27636742591858
7,2,2003,34.692876040935516
7,2,2004,50.566572695970535
7,2,2005,63.31327557563782
7,2,2006,42.99556091427803
7,2,2007,64.7507980465889
7,2,2008,63.67052346467972
7,2,2009,95.61270475387573
7,2,2010,66.03030860424042
7,2,2011,56.38192221522331
7,2,2012,60.34306064248085
7,2,2013,68.1760311126709
7,2,2014,64.76318091154099
7,2,2015,52.696507424116135
7,3,1981,47.879409044981
7,3,1982,54.198212921619415
7,3,1983,84.91235971450806
7,3,1984,61.98550760746002
7,3,1985,72.11697846651077
7,3,1986,59.293463826179504
7,3,1987,42.63206943869591
7,3,1988,49.65099319815636
7,3,1989,54.489605128765106
7,3,1990,36.45092993974686
7,3,1991,39.937686175107956
7,3,1992,48.19981008768082
7,3,1993,49.3740476667881
7,3,1994,42.31620207428932
7,3,1995,60.60656160116196
7,3,1996,64.33592736721039
7,3,1997,42.44139790534973
7,3,1998,43.39762404561043
7,3,1999,41.63948446512222
7,3,2000,40.91266542673111
7,3,2001,55.59011548757553
7,3,2002,62.001582235097885
7,3,2003,61.136651784181595
7,3,2004,99.63950514793396
7,3,2005,45.876577496528625
7,3,2006,75.2527266740799
7,3,2007,65.2943104505539
7,3,2008,68.94499808549881
7,3,2009,62.67383694648743
7,3,2010,60.98470464348793
7,3,2011,60.35022810101509
7,3,2012,57.05409497022629
7,3,2013,46.325862407684326
7,3,2014,46.57917469739914
7,3,2015,50.91767758131027
7,4,1981,44.7610467672348
7,4,1982,48.12900349497795
7,4,1983,50.419971346855164
7,4,1984,43.525077402591705
7,4,1985,40.16103968024254
7,4,1986,72.40864634513855
7,4,1987,64.5136758685112
7,4,1988,62.20944598317146
7,4,1989,75.35123825073242
7,4,1990,52.03743651509285
7,4,1991,42.100392282009125
7,4,1992,64.11857157945633
7,4,1993,55.52970618009567
7,4,1994,50.361268222332
7,4,1995,122.34155088663101
7,4,1996,65.80077111721039
7,4,1997,45.339327305555344
7,4,1998,62.39127367734909
7,4,1999,86.63993328809738
7,4,2000,60.97106263041496
7,4,2001,71.42551243305206
7,4,2002,43.44836249947548
7,4,2003,54.823558777570724
7,4,2004,49.01003837585449
7,4,2005,56.1799593269825
7,4,2006,52.771519869565964
7,4,2007,33.348288387060165
7,4,2008,50.812527537345886
7,4,2009,86.80619299411774
7,4,2010,87.6440554857254
7,4,2011,72.75235652923584
7,4,2012,77.11481302976608
7,4,2013,33.52323919534683
7,4,2014,35.39835289120674
7,4,2015,65.41294604539871
7,5,1981,45.22025212645531
7,5,1982,110.5617880821228
7,5,1983,52.076831459999084
7,5,1984,54.04115468263626
7,5,1985,66.39876961708069
7,5,1986,66.2524625658989
7,5,1987,47.133669257164
7,5,1988,61.47089600563049
7,5,1989,66.594198346138
7,5,1990,31.13989531993866
7,5,1991,49.88748952746391
7,5,1992,114.22271281480789
7,5,1993,63.86756896972656
7,5,1994,48.52152615785599
7,5,1995,37.022870033979416
7,5,1996,75.76265931129456
7,5,1997,42.67076402902603
7,5,1998,49.4505949318409
7,5,1999,53.07284742593765
7,5,2000,62.56762892007828
